CATEGORY_Game,CATEGORY_Non Game,FREE,AD_SUPPORTED,INSTALLS_GROUP,PRICEBAND,SIZEBAND,IN_APP_PURCHASES,DAYS_SINCE_UPDATE_RANGE,REVIEW_COUNT,RATING_COUNT
0.0,1.0,1,1,0,0,2,0,2,443.0,2455
0.0,1.0,1,0,0,0,0,0,0,6.0,36
0.0,1.0,1,1,0,0,0,0,3,33.0,598
1.0,0.0,1,0,0,0,3,1,4,909.0,65978
0.0,1.0,1,1,0,0,0,0,5,20.0,4834
1.0,0.0,1,0,0,0,4,1,0,851.0,8333
0.0,1.0,1,1,0,0,1,0,4,58.0,1554
0.0,1.0,1,1,0,0,3,1,1,206.0,425
0.0,1.0,1,0,0,0,3,1,2,900.0,7226
0.0,1.0,1,0,0,0,0,1,1,365.0,5609
1.0,0.0,1,1,1,0,4,1,1,5322.0,31459
1.0,0.0,1,1,1,0,3,1,3,1283.0,26994
0.0,1.0,1,1,1,0,2,1,3,334.0,10237
1.0,0.0,1,1,1,0,2,1,2,514.0,40885
0.0,1.0,1,0,0,0,2,0,2,10.0,77
1.0,0.0,1,1,0,0,4,1,3,586.0,7924
0.0,1.0,0,0,0,1,0,0,4,8.0,66
0.0,1.0,1,1,0,0,4,1,1,372.0,6692
1.0,0.0,1,1,1,0,4,1,2,1566.0,31367
0.0,1.0,1,1,1,0,1,0,2,1668.0,65343
0.0,1.0,0,0,0,1,0,0,5,30.0,1475
0.0,1.0,0,0,0,1,2,0,1,9.0,120
0.0,1.0,1,1,1,0,1,0,2,539.0,73349
1.0,0.0,1,1,0,0,4,1,3,10.0,469
1.0,0.0,1,1,1,0,4,1,3,1450.0,63343
1.0,0.0,1,1,0,0,4,0,2,20.0,1931
0.0,1.0,1,1,0,0,4,1,1,1828.0,7182
0.0,1.0,1,0,0,0,2,1,3,15.0,83
1.0,0.0,1,1,1,0,4,1,2,2821.0,80305
0.0,1.0,1,1,0,0,2,0,2,17.0,74
0.0,1.0,0,0,0,1,1,0,3,16.0,40
0.0,1.0,0,0,0,2,4,0,3,10.0,10
0.0,1.0,1,0,0,0,1,1,1,110.0,1095
1.0,0.0,1,1,0,0,4,1,0,17.0,339
1.0,0.0,1,1,0,0,2,0,2,124.0,3325
0.0,1.0,1,0,0,0,2,1,4,31.0,51
1.0,0.0,1,1,0,0,2,0,0,96.0,375
0.0,1.0,1,0,0,0,4,0,0,32.0,48
1.0,0.0,1,1,0,0,4,1,1,6.0,80
0.0,1.0,1,0,1,0,3,1,1,647.0,18704
1.0,0.0,1,1,1,0,4,1,1,396.0,18787
0.0,1.0,0,0,0,1,2,0,5,6.0,100
1.0,0.0,1,1,0,0,3,1,2,24.0,171
0.0,1.0,1,0,0,0,1,1,4,130.0,2010
1.0,0.0,1,1,1,0,3,1,0,3508.0,69354
0.0,1.0,1,1,0,0,1,0,3,13.0,153
0.0,1.0,1,0,0,0,1,0,1,193.0,2823
0.0,1.0,1,1,0,0,2,1,5,10.0,244
1.0,0.0,0,0,0,3,3,0,3,12.0,55
0.0,1.0,1,0,0,0,1,0,4,99.0,208
0.0,1.0,1,1,0,0,1,0,2,20.0,120
0.0,1.0,1,1,0,0,0,0,5,64.0,7049
0.0,1.0,1,1,0,0,0,0,5,1.0,151
0.0,1.0,1,0,0,0,1,1,2,51.0,1341
1.0,0.0,1,1,1,0,4,0,3,749.0,55305
1.0,0.0,1,1,1,0,2,1,1,134.0,13187
1.0,0.0,1,0,0,0,2,1,1,2919.0,34217
0.0,1.0,1,1,0,0,0,0,2,206.0,9021
1.0,0.0,1,1,1,0,3,1,0,730.0,33502
1.0,0.0,1,1,0,0,2,0,3,43.0,213
1.0,0.0,1,1,1,0,2,1,3,250.0,16431
0.0,1.0,1,0,0,0,2,1,5,20.0,451
0.0,1.0,1,1,1,0,1,1,4,399.0,19685
1.0,0.0,1,0,0,0,2,1,4,29.0,30512
1.0,0.0,1,0,1,0,4,1,2,1123.0,32997
0.0,1.0,1,1,0,0,1,0,2,3.0,238
1.0,0.0,1,1,1,0,3,0,3,133.0,8954
0.0,1.0,1,0,0,0,0,1,3,7.0,172
0.0,1.0,1,0,0,0,1,0,1,3.0,108
0.0,1.0,0,0,0,1,2,0,3,3.0,24
1.0,0.0,1,1,1,0,3,1,3,1366.0,17671
0.0,1.0,1,1,1,0,2,0,2,12.0,3021
1.0,0.0,1,1,0,0,3,1,2,47.0,642
1.0,0.0,1,1,1,0,4,1,0,1042.0,148962
1.0,0.0,1,1,0,0,4,1,1,822.0,4685
0.0,1.0,1,1,0,0,1,1,0,9.0,50
1.0,0.0,1,1,1,0,1,1,2,489.0,21724
1.0,0.0,1,1,1,0,1,0,3,161.0,5752
0.0,1.0,1,1,0,0,1,1,3,12.0,83
1.0,0.0,1,1,0,0,2,1,3,140.0,2681
1.0,0.0,1,1,0,0,3,0,0,206.0,1817
0.0,1.0,1,1,1,0,2,0,0,24.0,2568
0.0,1.0,1,0,0,0,1,1,3,5.0,1798
1.0,0.0,1,1,1,0,2,1,3,1103.0,36825
0.0,1.0,1,1,0,0,1,0,4,73.0,11503
1.0,0.0,1,0,1,0,4,1,0,1371.0,76718
0.0,1.0,1,1,0,0,1,1,1,31.0,765
0.0,1.0,1,0,0,0,1,1,3,8.0,27
0.0,1.0,1,0,0,0,2,0,3,222.0,1506
0.0,1.0,0,0,0,1,4,0,0,2.0,35
0.0,1.0,1,1,0,0,1,1,3,203.0,2129
0.0,1.0,1,1,0,0,1,0,2,46.0,685
1.0,0.0,1,1,1,0,4,1,3,2676.0,160467
0.0,1.0,1,0,0,0,1,1,2,276.0,290
0.0,1.0,1,0,0,0,2,0,1,27.0,33
0.0,1.0,1,0,0,0,3,1,3,3.0,161
1.0,0.0,1,0,0,0,4,1,1,20.0,199
1.0,0.0,1,1,1,0,2,1,2,276.0,22794
1.0,0.0,1,1,1,0,3,1,3,618.0,9039
0.0,1.0,1,1,0,0,0,0,2,40.0,93
1.0,0.0,0,0,0,1,2,0,4,5.0,6
0.0,1.0,1,1,0,0,1,1,3,27.0,144
0.0,1.0,1,0,0,0,1,1,4,998.0,1152
0.0,1.0,0,0,0,2,0,0,1,53.0,514
1.0,0.0,1,0,0,0,1,0,4,31.0,61
0.0,1.0,1,1,0,0,2,0,3,9.0,135
0.0,1.0,1,1,1,0,0,1,2,6.0,616
0.0,1.0,0,0,0,1,1,0,0,11.0,111
1.0,0.0,1,1,0,0,3,0,3,294.0,2715
0.0,1.0,1,1,0,0,1,0,2,66.0,185
0.0,1.0,1,1,0,0,0,0,2,10.0,71
0.0,1.0,1,1,0,0,2,0,2,2.0,208
0.0,1.0,1,0,0,0,4,1,3,33.0,48
0.0,1.0,0,0,0,1,2,0,3,3.0,30
1.0,0.0,1,1,1,0,4,1,2,4370.0,81183
1.0,0.0,1,1,1,0,2,1,1,1602.0,23324
0.0,1.0,1,1,1,0,1,1,1,298.0,9791
1.0,0.0,1,0,0,0,4,1,3,11.0,7038
0.0,1.0,1,0,0,0,2,1,2,41.0,153
1.0,0.0,1,1,0,0,2,0,0,1029.0,2485
1.0,0.0,0,0,0,1,4,0,2,12.0,70
0.0,1.0,1,1,0,0,2,1,0,204.0,842
1.0,0.0,1,1,1,0,2,1,1,25786.0,858784
0.0,1.0,1,0,0,0,1,0,3,6.0,12
1.0,0.0,1,1,1,0,3,0,3,1249.0,34979
0.0,1.0,1,1,1,0,1,0,1,82.0,23808
0.0,1.0,1,1,0,0,2,0,4,10.0,1204
1.0,0.0,1,1,1,0,4,1,2,47.0,3051
1.0,0.0,1,1,0,0,2,0,0,6.0,95
0.0,1.0,1,0,0,0,1,1,3,51.0,436
0.0,1.0,0,0,0,1,2,0,4,2.0,28
0.0,1.0,1,1,0,0,1,0,2,198.0,9932
1.0,0.0,1,1,1,0,4,1,3,6215.0,88384
0.0,1.0,1,0,0,0,1,0,4,303.0,479
0.0,1.0,1,1,0,0,0,0,1,147.0,2559
0.0,1.0,1,1,0,0,1,0,2,73.0,1476
1.0,0.0,1,1,0,0,2,1,0,455.0,9018
1.0,0.0,1,1,1,0,4,1,0,440.0,129026
0.0,1.0,0,0,0,1,2,0,4,13.0,144
0.0,1.0,1,1,0,0,1,0,0,7.0,362
0.0,1.0,1,1,1,0,4,1,0,1479.0,27356
1.0,0.0,1,1,0,0,4,0,2,61.0,206
1.0,0.0,1,1,0,0,4,0,0,4.0,470
1.0,0.0,1,0,1,0,3,1,2,5953.0,103194
1.0,0.0,1,1,1,0,4,0,1,311.0,5125
1.0,0.0,1,1,0,0,2,0,0,18.0,3363
1.0,0.0,1,1,1,0,4,1,2,704.0,29048
0.0,1.0,0,0,0,3,2,0,3,5.0,192
1.0,0.0,1,1,0,0,4,1,3,114.0,13664
1.0,0.0,1,1,1,0,4,1,0,403.0,3791
0.0,1.0,1,0,0,0,4,1,3,11.0,42
1.0,0.0,0,0,0,2,4,0,4,66.0,1095
1.0,0.0,1,0,0,0,2,1,3,10.0,19
0.0,1.0,1,1,1,0,2,0,3,1.0,856
0.0,1.0,0,0,0,3,1,0,1,18.0,88
0.0,1.0,0,0,0,1,2,0,0,15.0,49
0.0,1.0,1,1,0,0,1,1,1,53.0,8300
1.0,0.0,1,1,1,0,3,0,2,673.0,76873
0.0,1.0,1,0,0,0,1,0,3,112.0,845
1.0,0.0,0,0,0,2,2,0,4,66.0,1877
1.0,0.0,1,1,0,0,3,1,4,6.0,337
1.0,0.0,1,1,1,0,2,0,3,10.0,552
0.0,1.0,1,0,1,0,0,0,4,65.0,4351
0.0,1.0,1,0,0,0,2,0,3,76.0,379
1.0,0.0,1,1,1,0,2,0,2,2235.0,9420
0.0,1.0,1,1,0,0,0,0,3,1.0,2021
1.0,0.0,0,0,0,4,3,0,5,196.0,1231
1.0,0.0,1,1,1,0,4,1,0,4719.0,84541
1.0,0.0,1,1,1,0,2,1,0,619.0,58650
1.0,0.0,1,1,1,0,2,0,2,232.0,29945
1.0,0.0,1,1,1,0,2,0,0,2559.0,20670
1.0,0.0,1,1,0,0,0,0,5,147.0,10644
1.0,0.0,1,1,1,0,4,1,0,1073.0,126646
1.0,0.0,1,1,0,0,3,1,0,1096.0,17211
1.0,0.0,0,0,0,2,4,0,0,7.0,37
1.0,0.0,1,1,1,0,4,1,2,8113.0,410512
1.0,0.0,1,0,0,0,3,0,3,25.0,42
0.0,1.0,1,1,0,0,0,1,3,48.0,400
0.0,1.0,1,1,0,0,0,0,1,7.0,347
0.0,1.0,0,0,0,1,2,0,4,18.0,114
1.0,0.0,1,1,1,0,2,1,5,465.0,54159
0.0,1.0,1,1,1,0,2,0,1,423.0,115667
1.0,0.0,1,1,0,0,2,1,3,0.0,170
1.0,0.0,1,1,0,0,3,1,3,16.0,378
0.0,1.0,0,0,0,1,2,0,3,11.0,42
1.0,0.0,1,1,0,0,4,0,0,10.0,29
1.0,0.0,1,1,1,0,2,1,0,251.0,15690
1.0,0.0,1,1,0,0,2,1,4,8.0,888
0.0,1.0,1,0,1,0,2,0,1,833.0,66097
1.0,0.0,1,1,1,0,4,1,4,891.0,14408
0.0,1.0,1,1,0,0,3,0,3,3.0,116
1.0,0.0,1,1,0,0,4,1,3,53.0,441
1.0,0.0,1,0,0,0,3,1,2,63.0,114
0.0,1.0,1,0,1,0,2,0,0,2079.0,449333
1.0,0.0,1,1,1,0,3,1,0,86.0,5332
0.0,1.0,1,1,0,0,1,0,3,9.0,102
1.0,0.0,1,1,0,0,4,1,3,1322.0,9237
0.0,1.0,1,0,1,0,3,1,2,56.0,8352
1.0,0.0,1,0,0,0,2,1,3,21.0,21
1.0,0.0,1,1,0,0,4,0,3,20.0,1333
1.0,0.0,1,0,0,0,2,1,3,4.0,20
0.0,1.0,1,0,0,0,3,1,0,6.0,16
1.0,0.0,1,0,0,0,2,1,4,92.0,330
1.0,0.0,1,0,0,0,2,1,5,46.0,147
